feature,importance_mean_pr_auc,importance_std_pr_auc
number_inpatient,0.09301951649189666,0.0033518052886326827
discharge_disposition_id,0.021365166498389116,0.0033308459994796234
diag_1,0.014100045899910088,0.0007714229370970869
number_emergency,0.006551557793444758,0.0015017006243681211
insulin,0.0035012527076066133,0.0003547544256701118
diabetesMed,0.0024174877238396877,0.0005435872732853611
age,0.0017614407570702522,0.00030520214229933195
medical_specialty,0.001606119254496848,0.0011272779624839709
num_procedures,0.0015267643069295604,0.0002866372356689062
num_medications,0.0012968000137168294,0.0002634099180591812
payer_code,0.001289177857963832,0.0005622139862150517
metformin,0.001060436217609123,0.00082277173791437
diag_2,0.0008431126872646318,0.0001738618424683226
diag_3,0.00043014826746103535,9.55915192126557e-05
num_lab_procedures,0.00033864893761290094,0.0001324790441225366
rosiglitazone,0.0002924182580643919,0.00014191921055464144
A1Cresult,0.00024097582967932962,0.00017792340978716018
gender,0.0002335594293243574,0.00024290527724442652
admission_source_id,5.7940681360169055e-05,0.00018180444900818034
glipizide,5.599592922944652e-05,0.0001434247475932663
race,5.164599643580255e-05,0.0001117796315485862
admission_type_id,1.9642907126101356e-05,0.00037606098144647444
repaglinide,9.56615248841793e-06,3.966924568188309e-06
citoglipton,0.0,0.0
glimepiride-pioglitazone,0.0,0.0
tolbutamide,0.0,0.0
acetohexamide,0.0,0.0
max_glu_serum,0.0,0.0
chlorpropamide,0.0,0.0
nateglinide,0.0,0.0
metformin-pioglitazone,0.0,0.0
metformin-rosiglitazone,0.0,0.0
glipizide-metformin,0.0,0.0
acarbose,0.0,0.0
examide,0.0,0.0
tolazamide,0.0,0.0
miglitol,0.0,0.0
troglitazone,0.0,0.0
glyburide-metformin,0.0,0.0
pioglitazone,-1.0125389117136377e-05,1.41860944905484e-05
glimepiride,-3.274747107132048e-05,0.0003065223411883351
number_outpatient,-0.00011637801476613308,0.00021507599218623195
glyburide,-0.00023746392240486802,0.0005030515660478985
change,-0.0004189831554905858,4.547002654604946e-05
time_in_hospital,-0.000424564999667069,0.0005306172934535535
number_diagnoses,-0.0005045109182275816,0.0006356727817552688
